path,name,size,sha256,package,version,declared_license,source,classification,required_action,evidence
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\avcodec-61.dll,avcodec-61.dll,13919968,5d02f566bfc7116aa2e758191ac60728a6b085f52f0c9df6b0449c3e39fc1eff,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\avformat-61.dll,avformat-61.dll,2642656,9c9aad9c40ff2c8894b2d677c495aabe21a824b2df92e8dc1d77b8e508ff9bfb,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\avutil-59.dll,avutil-59.dll,1199328,92e7a65f6ead544506276a9af38ce1ffabfce1691a81d0eab2ab5098576fbe82,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\MSVCP140.dll,MSVCP140.dll,550112,ff8a3047798a1757330c0ff2cf66c2fdfc4aaef95043d3dc00483f8925b7cea4,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\MSVCP140_1.dll,MSVCP140_1.dll,28384,10bae850a88d38b5103f583b1f2f7af2f2b146ce92b5cd23636b866f4204e5e1,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\MSVCP140_2.dll,MSVCP140_2.dll,272608,c86a181fcf3953d238fab7ecd9c2a82107383ba3b72a36b5e5bfeb703c531a4c,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\opengl32sw.dll,opengl32sw.dll,20640480,4bfc2129fba57da6b77552fb73d659b4d7cec0fb2b9da7555196ee8ac31b45c4,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\generic\qtuiotouchplugin.dll,qtuiotouchplugin.dll,103136,17c5f0c2fcd4a09da8520ca62137068bbc65c9b1911da2b9d0bee07697f810e9,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\iconengines\qsvgicon.dll,qsvgicon.dll,72416,2f938c548aef4986fce2c2e663c45d1f9fc52843b67bdd1aafb955f39570c3e1,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qgif.dll,qgif.dll,48352,c089124cf71af5a4c6868b0448b9c4d2690e973755aacc07e22f3f202e414c20,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qicns.dll,qicns.dll,56544,1fe9c8948ba3e54d9f2bed55cab531d509c716319f801177649be6456d5c6ceb,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qico.dll,qico.dll,46816,33bd8b2c3e59541806cd1a8a8b8323d619ddd3e0dd07038429215362e7a92630,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qjpeg.dll,qjpeg.dll,578272,08a82c59b6127de708df446f8b46b4571e3044bbac3e2f8b8b13f4875e051518,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qpdf.dll,qpdf.dll,43232,65e3a2b9a77f28fab357d085097a550750ca27fa3fc6e049bb8b0dfe40ac16b4,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qsvg.dll,qsvg.dll,39648,59d8aa665513108c46c517e874f312fc0851d1645dcdebea2771e0e4dc69fd5d,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
